subject,exp_num,RT,p,modality
18,5,713,0.3,ED_e
18,5,1137,0.3,EE
18,5,544,0.4,ED_e
18,5,551,0.4,EE
18,5,1358,0.6,ED_e
18,5,2289.5,0.6,EE
18,5,1189,0.7,ED_e
18,5,918.5,0.7,EE
18,5,857,0.8,ED_e
18,5,818,0.8,EE
18,5,823,0.9,ED_e
18,5,937,0.9,EE
19,5,695,0,ED_d
19,5,730,0.1,ED_d
19,5,716,0.2,ED_d
19,5,742.5,0.3,ED_d
19,5,972.5,0.4,ED_d
19,5,737,0.5,ED_d
19,5,709,0.6,ED_d
19,5,596.5,0.7,ED_d
19,5,593,0.8,ED_d
19,5,513,0.9,ED_d
19,5,574.5,1,ED_d
19,5,696,0.1,ED_e
19,5,512,0.1,EE
19,5,710,0.2,ED_e
19,5,486,0.2,EE
19,5,613,0.3,ED_e
19,5,513,0.3,EE
19,5,740,0.4,ED_e
19,5,525.5,0.4,EE
19,5,635,0.6,ED_e
19,5,572,0.6,EE
19,5,737,0.7,ED_e
19,5,532,0.7,EE
19,5,664,0.8,ED_e
19,5,519,0.8,EE
19,5,627,0.9,ED_e
19,5,549.5,0.9,EE
20,5,1236,0,ED_d
20,5,1629,0.1,ED_d
20,5,1160,0.2,ED_d
20,5,1183,0.3,ED_d
20,5,1750.5,0.4,ED_d
20,5,1913,0.5,ED_d
20,5,1128.5,0.6,ED_d
20,5,1693,0.7,ED_d
20,5,952.5,0.8,ED_d
20,5,985,0.9,ED_d
20,5,851.5,1,ED_d
20,5,1237,0.1,ED_e
20,5,2713.5,0.1,EE
20,5,1695,0.2,ED_e
20,5,2814,0.2,EE
20,5,1129,0.3,ED_e
20,5,2991,0.3,EE
20,5,1847,0.4,ED_e
20,5,1338,0.4,EE
20,5,2517,0.6,ED_e
20,5,1262,0.6,EE
20,5,1104,0.7,ED_e
20,5,1555,0.7,EE
20,5,1601,0.8,ED_e
20,5,1736,0.8,EE
20,5,1020,0.9,ED_e
20,5,1273.5,0.9,EE
21,5,1163,0,ED_d
21,5,1435.5,0.1,ED_d
21,5,1942.5,0.2,ED_d
21,5,1579.5,0.3,ED_d
21,5,2137.5,0.4,ED_d
21,5,1272,0.5,ED_d
21,5,1375,0.6,ED_d
21,5,935.5,0.7,ED_d
21,5,1083.5,0.8,ED_d
21,5,1225.5,0.9,ED_d
21,5,978.5,1,ED_d
21,5,1451,0.1,ED_e
21,5,NaN,0.1,EE
21,5,1161,0.2,ED_e
21,5,1702.5,0.2,EE
21,5,1154,0.3,ED_e
21,5,1035,0.3,EE
21,5,1172,0.4,ED_e
21,5,1978,0.4,EE
21,5,1273,0.6,ED_e
21,5,1290.5,0.6,EE
21,5,1335,0.7,ED_e
21,5,1112,0.7,EE
21,5,1165,0.8,ED_e
21,5,1497.5,0.8,EE
21,5,1474,0.9,ED_e
21,5,990,0.9,EE
22,5,1784.5,0,ED_d
22,5,1741,0.1,ED_d
22,5,2034,0.2,ED_d
22,5,1938.5,0.3,ED_d
22,5,2352,0.4,ED_d
22,5,1698.5,0.5,ED_d
22,5,1649.5,0.6,ED_d
22,5,1621.5,0.7,ED_d
22,5,1665,0.8,ED_d
22,5,1597,0.9,ED_d
22,5,1504,1,ED_d
22,5,1920,0.1,ED_e
22,5,2622,0.1,EE
22,5,1713,0.2,ED_e
22,5,1976,0.2,EE
22,5,1516,0.3,ED_e
22,5,2926,0.3,EE
22,5,1592,0.4,ED_e
22,5,1621,0.4,EE
22,5,1567,0.6,ED_e
22,5,1648,0.6,EE
22,5,1632,0.7,ED_e
22,5,2141,0.7,EE
22,5,1733,0.8,ED_e
22,5,1737,0.8,EE
22,5,2054,0.9,ED_e
22,5,2054,0.9,EE
23,5,658,0,ED_d
23,5,679.5,0.1,ED_d
23,5,720.5,0.2,ED_d
23,5,706.5,0.3,ED_d
23,5,777.5,0.4,ED_d
23,5,725.5,0.5,ED_d
23,5,721,0.6,ED_d
23,5,699.5,0.7,ED_d
23,5,657.5,0.8,ED_d
23,5,621,0.9,ED_d
23,5,557.5,1,ED_d
23,5,749,0.1,ED_e
23,5,828,0.1,EE
23,5,674,0.2,ED_e
23,5,763,0.2,EE
23,5,672,0.3,ED_e
23,5,578.5,0.3,EE
23,5,653,0.4,ED_e
23,5,557,0.4,EE
23,5,699,0.6,ED_e
23,5,618,0.6,EE
23,5,608,0.7,ED_e
23,5,659,0.7,EE
23,5,742,0.8,ED_e
23,5,748.5,0.8,EE
23,5,760,0.9,ED_e
23,5,697,0.9,EE
24,5,1439,0,ED_d
24,5,1583,0.1,ED_d
24,5,1980,0.2,ED_d
24,5,1824,0.3,ED_d
24,5,1985.5,0.4,ED_d
24,5,1898,0.5,ED_d
24,5,1737,0.6,ED_d
24,5,2116,0.7,ED_d
24,5,1673,0.8,ED_d
24,5,1775.5,0.9,ED_d
24,5,1373,1,ED_d
24,5,2139,0.1,ED_e
24,5,2308.5,0.1,EE
24,5,1482,0.2,ED_e
24,5,5420,0.2,EE
24,5,1536,0.3,ED_e
24,5,3172.5,0.3,EE
24,5,1586,0.4,ED_e
24,5,1648,0.4,EE
24,5,1947,0.6,ED_e
24,5,2369,0.6,EE
24,5,1665,0.7,ED_e
24,5,1580,0.7,EE
24,5,1773,0.8,ED_e
24,5,2034,0.8,EE
24,5,1763,0.9,ED_e
24,5,1577,0.9,EE
25,5,1819,0,ED_d
25,5,2117,0.1,ED_d
25,5,1641.5,0.2,ED_d
25,5,1886.5,0.3,ED_d
25,5,2795.5,0.4,ED_d
25,5,2371.5,0.5,ED_d
25,5,2098,0.6,ED_d
25,5,1876,0.7,ED_d
25,5,1911,0.8,ED_d
25,5,2188,0.9,ED_d
25,5,1570.5,1,ED_d
25,5,1806,0.1,ED_e
25,5,2684,0.1,EE
25,5,1951,0.2,ED_e
25,5,2501,0.2,EE
25,5,1958,0.3,ED_e
25,5,4946,0.3,EE
25,5,1837,0.4,ED_e
25,5,1852,0.4,EE
25,5,1630,0.6,ED_e
25,5,1772,0.6,EE
25,5,2432,0.7,ED_e
25,5,1847,0.7,EE
25,5,1879,0.8,ED_e
25,5,1560,0.8,EE
25,5,2206,0.9,ED_e
25,5,2313,0.9,EE
26,5,1499.5,0,ED_d
26,5,1774.5,0.1,ED_d
26,5,1616,0.2,ED_d
26,5,1690,0.3,ED_d
26,5,1595.5,0.4,ED_d
26,5,1642.5,0.5,ED_d
26,5,1425,0.6,ED_d
26,5,1374,0.7,ED_d
26,5,1578.5,0.8,ED_d
26,5,1447,0.9,ED_d
26,5,1397.5,1,ED_d
26,5,1577,0.1,ED_e
26,5,1405.5,0.1,EE
26,5,1566,0.2,ED_e
26,5,1858,0.2,EE
26,5,1455,0.3,ED_e
26,5,1789,0.3,EE
26,5,1422,0.4,ED_e
26,5,1517,0.4,EE
26,5,1416,0.6,ED_e
26,5,1494.5,0.6,EE
26,5,1686,0.7,ED_e
26,5,1320,0.7,EE
26,5,1467,0.8,ED_e
26,5,1531.5,0.8,EE
26,5,1623,0.9,ED_e
26,5,1511.5,0.9,EE
27,5,1418.5,0,ED_d
27,5,1570.5,0.1,ED_d
27,5,1553,0.2,ED_d
27,5,1422,0.3,ED_d
27,5,1726,0.4,ED_d
27,5,1504.5,0.5,ED_d
27,5,1217,0.6,ED_d
27,5,1062,0.7,ED_d
27,5,1293,0.8,ED_d
27,5,1190,0.9,ED_d
27,5,1036.5,1,ED_d
27,5,1388,0.1,ED_e
27,5,2226.5,0.1,EE
27,5,1629,0.2,ED_e
27,5,1646,0.2,EE
27,5,1314,0.3,ED_e
27,5,1891,0.3,EE
27,5,1629,0.4,ED_e
27,5,1690.5,0.4,EE
27,5,1321,0.6,ED_e
27,5,1029,0.6,EE
27,5,1133,0.7,ED_e
27,5,961,0.7,EE
27,5,1374,0.8,ED_e
27,5,1162.5,0.8,EE
27,5,1279,0.9,ED_e
27,5,1307.5,0.9,EE
28,5,904.5,0,ED_d
28,5,1061.5,0.1,ED_d
28,5,1185.5,0.2,ED_d
28,5,637,0.3,ED_d
28,5,1197,0.4,ED_d
28,5,603,0.5,ED_d
28,5,571.5,0.6,ED_d
28,5,976,0.7,ED_d
28,5,650,0.8,ED_d
28,5,620,0.9,ED_d
28,5,634,1,ED_d
28,5,1045,0.1,ED_e
28,5,459,0.1,EE
28,5,892,0.2,ED_e
28,5,513,0.2,EE
28,5,855,0.3,ED_e
28,5,519,0.3,EE
28,5,757,0.4,ED_e
28,5,606.5,0.4,EE
28,5,561,0.6,ED_e
